1,1630,Brazil
2,1550,Italy
3,1472,Argentina
4,1462,France
5,1434,England
6,1322,Netherlands
7,1309,Spain
8,1301,Portugal
9,1229,Germany
10,1223,Czech,Republic
11,1149,Nigeria
12,1109,Cameroon
13,1028,Switzerland
14,985,Uruguay
15,961,Ukraine
16,933,USA
17,927,Denmark
18,924,Mexico
19,915,Paraguay
20,909,Ivory,Coast
21,902,Colombia
22,886,Sweden
23,854,Croatia
24,850,Guinea
25,839,Ghana
26,834,Romania
27,824,Turkey
28,821,Ecuador
29,819,Egypt
30,809,Poland
31,805,Tunisia
32,780,Greece
33,738,Australia
34,733,Russia
35,726,Senegal
36,724,Serbia,and,Montenegro
36,724,Serbia
37,716,Bulgaria
38,695,Honduras
39,694,Ireland
40,681,Morocco
41,677,Scotland
42,661,Peru
43,660,Bosnia
44,659,Slovakia
45,636,Costa,Rica
46,630,Chile
47,624,Iran
48,622,Togo
49,615,Japan
50,606,Uzbekistan
51,605,Israel
52,604,Norway
53,587,Guatemala
54,567,Canada
55,564,Angola
56,557,Korea,Republic
57,555,Belgium
58,547,Wales
59,522,Panama
60,506,Austria
61,505,Slovenia
62,498,Zambia
63,497,Mali
64,487,Trinidad,and,Tobago
65,478,Albania
66,476,Zimbabwe
67,475,Congo,DR
68,463,Venezuela
69,458,Lithuania
70,456,Macedonia
70,456,Finland
72,455,South,Africa
73,453,Belarus
74,445,Burkina,Faso
75,425,Northern,Ireland
76,420,Qatar
77,416,Moldova
78,409,Jamaica
79,401,Libya
80,400,Malawi
81,399,Saudi,Arabia
82,386,Estonia
82,386,Latvia
84,383,Hungary
85,368,Bolivia
86,367,Oman
87,359,Georgia
88,350,Iraq
89,343,China
90,329,United,Arab,Emirates
91,327,Korea
92,320,Cyprus
93,318,Algeria
94,311,Bahrain
95,299,Equatorial,Guinea
96,293,Gabon
96,293,Cuba
98,288,Jordan
99,276,Uganda
100,272,Kuwait
101,270,Ethiopia
102,259,Cape,Verde
103,256,Rwanda
104,255,Botswana
105,247,Armenia
106,244,Benin
107,238,Iceland
108,237,Congo
109,234,Azerbaijan
110,231,Syria
111,230,Singapore
112,228,Lebanon
113,227,Sudan
113,227,Thailand
115,202,St.,Lucia
116,200,Tajikistan
117,193,Kenya
117,193,New,Zealand
117,193,Hong,Kong
120,190,Palestine
121,185,Kyrgyzstan
122,178,Malta
123,173,Haiti
124,170,Liechtenstein
125,168,Yemen
126,164,Maldives
126,164,Mozambique
128,158,Chad
129,155,St.,Vincent,and,the,Grenadines
130,151,India
131,142,Guyana
131,142,Andorra
133,141,Lesotho
134,140,Fiji
135,137,Mauritius
136,134,Liberia
136,134,St.,Kitts,and,Nevis
138,124,Sri,Lanka
139,118,Indonesia
140,117,Kazakhstan
141,116,Vietnam
141,116,Seychelles
143,114,Bangladesh
143,114,Tanzania
145,112,Antigua,and,Barbuda
146,108,Malaysia
147,107,El,Salvador
148,106,Turkmenistan
149,104,Taiwan
150,99,Suriname
151,95,Solomon,Islands
152,94,Barbados
153,91,Swaziland
153,91,Pakistan
155,89,Sierra,Leone
156,88,Madagascar
157,86,Burundi
158,79,Gambia
159,78,Grenada
160,72,Bermuda
161,70,Nicaragua
161,70,Vanuatu
163,67,Myanmar
164,66,Nepal
164,66,Tahiti
166,61,Mauritania
167,56,Namibia
168,55,British,Virgin,Islands
169,54,Niger
169,54,Faroe,Islands
171,51,New,Caledonia
172,49,Central,African,Republic
173,48,Afghanistan
174,47,Papua,New,Guinea
175,46,Cayman,Islands
176,42,Curacao
177,39,Eritrea,Eritrea
178,38,Brunei
179,36,Guinea-Bissau
179,36,Somalia
181,35,Mongolia
182,34,Laos
183,31,Macau
183,31,Cambodia
183,31,Dominica
186,26,Dominican,Republic
187,24,Bhutan
188,22,Samoa
189,21,Tonga
190,17,Puerto,Rico
191,12,San,Marino
192,9,Philippines
193,7,Bahamas
194,3,Cook,Islands
194,3,Luxembourg
196,0,American,Samoa
196,0,Guam
196,0,Turks,and,Caicos,Islands
196,0,Virgin,Islands
196,0,Aruba
196,0,Sao,Tome,e,Principe
196,0,Djibouti
196,0,Belize
196,0,Montserrat
205,0,Anguilla

